day_theme,event,chart_title,article_url,path
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,UK infrastructure funding,https://www.economicsobservatory.com/financing-uk-rail-infrastructure-how-does-today-compare-with-the-past,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/UK Infrastructure Funding
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,G8 comparison: GDP growth,https://www.economicsobservatory.com/how-is-the-uk-economy-faring-compared-with-other-countries,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/G8 Comparision%3A GDP growth
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,Unemployment rate,https://www.economicsobservatory.com/how-is-the-uk-economy-faring-compared-with-other-countries,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/Unemployment Rate
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,GDP per capita,https://www.economicsobservatory.com/how-is-the-uk-economy-faring-compared-with-other-countries,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/GDP per capita
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,Life satisfaction,https://www.economicsobservatory.com/how-is-the-uk-economy-faring-compared-with-other-countries,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/Life Satisfaction
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,Trend growth in UK's TFP,https://www.economicsobservatory.com/where-is-the-wealth-of-nations-in-the-21st-century,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/Trend Gorwth in UK's TFP
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,Trade union memberships,https://www.economicsobservatory.com/can-uk-trade-unions-recover-their-post-war-power,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/Trade Union Memberships
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,Income per person post devolution,https://www.economicsobservatory.com/how-have-the-institutions-of-uk-devolution-affected-economic-performance,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/Income Per Person post devolution
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,Components of Inflation,https://www.economicsobservatory.com/whats-happening-to-uk-inflation-and-interest-rates,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/Components of Inflation
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,Local Authority financing,https://x.com/EconObservatory/status/1791498390204813343,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/Local authority financing
Lessons from the past ,The Tyranny of Nostalgia: Half a Century of British Economics Decline,UK employment growth during global turndown,https://www.economicsobservatory.com/what-happens-trade-global-downturn,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Half Century British Economics/UK employment growht during global turndown
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,UK GDP composition,https://www.economicsobservatory.com/can-policy-boost-productivity-in-the-uks-services-based-economy,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/UK GDP composition
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,Productivity growth contributors,,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/Productivity growth contributors
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,R&D spending by GDP,https://www.economicsobservatory.com/boosting-productivity-why-doesnt-the-uk-invest-enough,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/R&D spending by GDP 
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,G7 Productivity (gdp per hour),https://www.economicsobservatory.com/how-can-the-uk-revive-its-ailing-productivity,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/G7 productivity (GDP per hour)
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,GDP per hour 1990-2023,https://www.economicsobservatory.com/how-can-the-uk-revive-its-ailing-productivity,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/GDP per hour 1990-2023
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,UK investment,https://www.economicsobservatory.com/boosting-productivity-why-doesnt-the-uk-invest-enough,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/UK investment
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,OBR productivity forecasts vs real,https://www.economicsobservatory.com/why-can-economic-forecasts-go-wrong,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/OBR productivity forecasts vs real
Lessons from the past ,Under-performing: How can we boost Britain’s low productivity?,UK productivity gap,"(see Data Hub, from Finn)",https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/Under-performing%3A how can we boost Britain's low productivty/UK productivity gap 
Lessons from the past ,How can we build a sustainable planet?,Impact of tempertaure on productivity,https://www.economicsobservatory.com/how-are-agricultural-economies-affected-by-climate-change,https://raw.githubusercontent.com/jhellingsdata/RADataHub/refs/heads/main/FoE_charts/How can we build a sustainable planet?/Impact of temp on productivity
